Wall time,Step,Value
1602349882.4829857,5999,0.0
1602349889.5561936,6999,0.0
1602349909.2291763,10999,161.0
1602349912.1625023,11999,168.0
1602349922.045029,13999,192.0
1602349929.0549803,14999,0.0
1602349931.932835,15999,54.0
1602349941.893225,17999,0.0
1602349948.9044158,18999,136.0
1602349951.7404222,19999,0.0
1602349958.726799,20999,0.0
1602349978.5004232,24999,0.0
1602350020.6948647,33999,0.0
1602350027.6774902,34999,50.0
1602350037.5627367,36999,0.0
1602350050.2378652,39999,69.0
1602350057.2289953,40999,10.0
1602350062.9253201,42999,0.0
1602350072.755112,44999,7.0
1602350079.7917862,45999,2.0
1602350089.6501791,47999,61.0
1602350099.5681064,49999,36.0
1602350102.421197,50999,0.0
1602350119.2953162,53999,70.0
1602350122.2113452,54999,65.0
1602350129.1530025,55999,79.0
1602350131.9662354,56999,14.0
1602350138.9124134,57999,201.0
1602350151.6061196,60999,135.0
1602350158.5632455,61999,213.0
1602350168.367616,63999,87.0
1602350178.264713,65999,88.0
1602350181.1175015,66999,238.0
1602350188.0952976,67999,22.0
1602350191.011476,68999,88.0
1602350207.9059625,71999,532.0
1602350210.7600121,72999,0.0
1602350217.8355513,73999,19.0
1602350220.7025204,74999,85.0
1602350230.5713365,76999,0.0
1602350247.3855956,79999,0.0
1602350269.9478018,84999,0.0
1602350272.7987044,85999,0.0
1602350279.7520492,86999,0.0
1602350282.610999,87999,0.0
1602350289.5922894,88999,85.0
1602350292.4529126,89999,238.0
1602350319.2007735,94999,432.0
1602350358.8665295,102999,121.0
1602350371.6659641,105999,920.0
1602350378.7454057,106999,0.0
1602350411.1100166,113999,0.0
1602350427.9873116,116999,0.0
1602350437.826366,118999,0.0
1602350440.6678793,119999,128.0
1602350447.6449196,120999,0.0
1602350467.3970144,124999,117.0
1602350470.2730978,125999,15.0
1602350477.3188992,126999,23.0
1602350490.0595074,129999,34.0
1602350492.9499419,130999,6.0
1602350509.8358314,133999,98.0
1602350529.6013913,137999,27.0
1602350539.4100027,139999,0.0
1602350549.2042475,141999,0.0
1602350552.0341544,142999,0.0
1602350558.9111502,143999,17.0
1602350561.7433274,144999,0.0
1602350581.4930353,148999,144.0
1602350591.43993,150999,16.0
1602350608.120102,153999,0.0
1602350611.0270848,154999,21.0
1602350617.971312,155999,34.0
1602350627.7388968,157999,249.0
1602350630.5849528,158999,97.0
1602350637.5847523,159999,82.0
1602350650.3005047,162999,329.0
1602350660.2700508,164999,0.0
1602350667.2948544,165999,29.0
1602350677.0837634,167999,213.0
1602350679.9861994,168999,0.0
1602350692.662745,171999,12.0
1602350719.375236,176999,391.0
1602350722.2310636,177999,116.0
1602350729.3255723,178999,0.0
1602350739.247096,180999,0.0
1602350742.1117485,181999,6.0
1602350752.0620685,183999,129.0
1602350761.954092,185999,79.0
1602350768.9822564,186999,297.0
1602350771.8558168,187999,409.0
1602350778.9260619,188999,49.0
1602350788.8469458,190999,10.0
1602350791.7200165,191999,33.0
1602350828.514375,198999,409.0
1602350848.2198532,202999,123.0
1602350867.9441044,206999,20.0
1602350870.8157747,207999,26.0
1602350877.834097,208999,13.0
1602350897.6506386,212999,10.0
1602350910.359189,215999,0.0
1602350923.1591856,218999,33.0
1602350930.1880817,219999,0.0
1602350943.0204542,222999,0.0
1602350949.9782903,223999,0.0
1602350959.850176,225999,100.0
1602350962.764794,226999,72.0
1602350969.7687573,227999,0.0
1602350979.6444218,229999,52.0
1602350982.5626435,230999,127.0
1602350992.404276,232999,95.0
1602350999.3868308,233999,92.0
1602351002.233249,234999,23.0
1602351019.1733077,237999,29.0
1602351031.942048,240999,0.0
1602351058.723654,245999,160.0
1602351068.5942574,247999,178.0
1602351078.5416558,249999,35.0
1602351081.3921793,250999,91.0
1602351104.0473754,255999,54.0
1602351120.962873,258999,0.0
1602351123.8889043,259999,0.0
1602351130.8894262,260999,109.0
1602351133.7404766,261999,133.0
1602351143.5839982,263999,47.0
1602351163.2708466,267999,106.0
1602351173.1451247,269999,191.0
1602351182.9637969,271999,224.0
1602351192.8326037,273999,224.0
1602351219.49312,278999,547.0
1602351229.2856648,280999,88.0
1602351248.9702225,284999,157.0
1602351271.6721346,289999,42.0
1602351281.5521908,291999,29.0
1602351288.623343,292999,26.0
1602351301.328131,295999,461.0
1602351311.2542064,297999,181.0
1602351314.1003911,298999,58.0
1602351321.1000135,299999,283.0
1602351330.962564,301999,27.0
1602351333.8633006,302999,237.0
1602351340.880567,303999,454.0
1602351360.7013366,307999,0.0
1602351363.549799,308999,88.0
1602351373.4321582,310999,157.0
1602351390.4198904,313999,216.0
1602351410.1929479,317999,0.0
1602351413.0493407,318999,0.0
1602351420.0425034,319999,129.0
1602351422.9226599,320999,37.0
1602351432.8967302,322999,0.0
1602351449.802305,325999,138.0
1602351452.7560499,326999,11.0
1602351459.7570322,327999,0.0
1602351472.4408567,330999,267.0
1602351479.5108535,331999,89.0
1602351489.3892508,333999,110.0
1602351519.1194205,339999,116.0
1602351524.8948328,341999,0.0
1602351541.7094254,344999,170.0
1602351544.606476,345999,161.0
1602351554.4399283,347999,299.0
1602351561.4494746,348999,33.0
1602351584.0372071,353999,71.0
1602351591.0766344,354999,301.0
1602351600.9058552,356999,230.0
1602351610.7491388,358999,29.0
1602351613.6545508,359999,32.0
1602351620.630334,360999,19.0
1602351633.2894168,363999,34.0
1602351640.3490496,364999,353.0
1602351653.0464406,367999,88.0
1602351660.0456169,368999,57.0
1602351669.931274,370999,446.0
1602351672.7874553,371999,245.0
1602351682.6772423,373999,0.0
