Wall time,Step,Value
1602337038.4854288,5999,0.0
1602337045.3575797,6999,0.0
1602337064.5910087,10999,194.0
1602337067.3639584,11999,81.0
1602337076.988888,13999,134.0
1602337083.9090886,14999,103.0
1602337086.6917534,15999,46.0
1602337096.3046513,17999,141.0
1602337103.1914253,18999,0.0
1602337105.9810765,19999,170.0
1602337112.835538,20999,0.0
1602337132.1922996,24999,78.0
1602337173.7249198,33999,108.0
1602337180.50568,34999,42.0
1602337190.0451305,36999,0.0
1602337202.3811336,39999,97.0
1602337209.162604,40999,80.0
1602337214.7105806,42999,36.0
1602337224.3150082,44999,2.0
1602337231.1862206,45999,27.0
1602337240.7780602,47999,148.0
1602337250.4628289,49999,35.0
1602337253.2393196,50999,55.0
1602337269.7560399,53999,46.0
1602337272.5376985,54999,6.0
1602337279.3848598,55999,21.0
1602337282.1842551,56999,0.0
1602337289.0977337,57999,162.0
1602337301.4903657,60999,81.0
1602337308.3970656,61999,0.0
1602337317.987215,63999,112.0
1602337327.6232011,65999,0.0
1602337330.3743596,66999,47.0
1602337337.170212,67999,30.0
1602337339.9041402,68999,69.0
1602337356.2536573,71999,160.0
1602337359.0045364,72999,6.0
1602337365.860166,73999,253.0
1602337368.6107297,74999,3.0
1602337378.1531162,76999,80.0
1602337394.5870752,79999,89.0
1602337416.6338248,84999,166.0
1602337419.456084,85999,28.0
1602337426.3120906,86999,238.0
1602337429.0866866,87999,344.0
1602337435.960519,88999,14.0
1602337438.8160357,89999,0.0
1602337464.9479804,94999,37.0
1602337503.5709567,102999,7.0
1602337516.027916,105999,11.0
1602337522.8897383,106999,315.0
1602337554.6718636,113999,189.0
1602337571.0609117,116999,0.0
1602337580.6276057,118999,0.0
1602337583.412846,119999,32.0
1602337590.3329349,120999,210.0
1602337609.6954992,124999,0.0
1602337612.4818194,125999,0.0
1602337619.289202,126999,0.0
1602337631.7404437,129999,18.0
1602337634.4995406,130999,0.0
1602337650.9708755,133999,209.0
1602337670.143916,137999,0.0
1602337679.688885,139999,131.0
1602337689.3184807,141999,373.0
1602337692.0835118,142999,57.0
1602337698.880593,143999,240.0
1602337701.6657999,144999,0.0
1602337720.894277,148999,85.0
1602337730.4717355,150999,62.0
1602337746.9878063,153999,382.0
1602337749.77007,154999,255.0
1602337756.624627,155999,305.0
1602337766.3152964,157999,0.0
1602337769.0630798,158999,0.0
1602337775.9342132,159999,116.0
1602337788.2807274,162999,0.0
1602337797.9574413,164999,74.0
1602337804.8120873,165999,0.0
1602337814.4949386,167999,318.0
1602337817.2637954,168999,20.0
1602337829.6325445,171999,6.0
1602337855.6526601,176999,3.0
1602337858.4022803,177999,0.0
1602337865.2102823,178999,114.0
1602337874.8283637,180999,6.0
1602337877.5961287,181999,322.0
1602337887.24924,183999,4.0
1602337896.8833203,185999,306.0
1602337903.7451441,186999,0.0
1602337906.5847774,187999,44.0
1602337913.4508429,188999,271.0
1602337923.1224914,190999,303.0
1602337925.9647684,191999,9.0
1602337961.7244494,198999,0.0
1602337980.9455175,202999,270.0
1602338000.2213771,206999,144.0
1602338003.0664167,207999,0.0
1602338009.8953595,208999,150.0
1602338029.1688247,212999,91.0
1602338041.689634,215999,169.0
1602338054.124691,218999,248.0
1602338061.0799253,219999,96.0
1602338073.490488,222999,173.0
1602338080.3909788,223999,59.0
1602338089.998555,225999,25.0
1602338092.767122,226999,377.0
1602338099.6685889,227999,6.0
1602338109.2720146,229999,0.0
1602338112.0565882,230999,34.0
1602338121.7248483,232999,87.0
1602338128.5782511,233999,0.0
1602338131.3525004,234999,232.0
1602338147.8424141,237999,63.0
1602338160.2915902,240999,87.0
1602338186.4361517,245999,30.0
1602338196.1418192,247999,252.0
1602338205.784956,249999,42.0
1602338208.6289492,250999,33.0
1602338230.7383618,255999,0.0
1602338247.278319,258999,70.0
1602338250.037296,259999,26.0
1602338256.8728535,260999,117.0
1602338259.643522,261999,149.0
1602338269.3047972,263999,4.0
1602338288.633338,267999,90.0
1602338298.272279,269999,0.0
1602338307.9633312,271999,159.0
1602338317.6285098,273999,230.0
1602338343.9650252,278999,17.0
1602338353.6000254,280999,167.0
1602338372.9392915,284999,245.0
1602338394.8947628,289999,29.0
1602338404.5303974,291999,327.0
1602338411.3552468,292999,0.0
1602338423.7462957,295999,358.0
1602338433.3133307,297999,399.0
1602338436.1434052,298999,436.0
1602338442.9536145,299999,8.0
1602338452.5012462,301999,0.0
1602338455.3191729,302999,224.0
1602338462.123603,303999,228.0
1602338481.2702477,307999,30.0
1602338484.0263798,308999,0.0
1602338493.6507542,310999,246.0
1602338510.0371122,313999,36.0
1602338529.174914,317999,230.0
1602338531.9751575,318999,0.0
1602338538.7661726,319999,0.0
1602338541.5261488,320999,37.0
1602338551.1189408,322999,343.0
1602338567.6577702,325999,30.0
1602338570.4516056,326999,0.0
1602338577.2931194,327999,78.0
1602338589.7906852,330999,46.0
1602338596.649769,331999,182.0
1602338606.2734885,333999,219.0
1602338635.0878856,339999,128.0
1602338640.7084327,341999,301.0
1602338657.173297,344999,3.0
1602338660.025909,345999,31.0
1602338669.6006525,347999,564.0
1602338676.392755,348999,137.0
1602338698.3691702,353999,37.0
1602338705.1733057,354999,16.0
1602338714.754139,356999,530.0
1602338724.3994968,358999,344.0
1602338727.1601934,359999,140.0
1602338733.9880142,360999,248.0
1602338746.4372084,363999,202.0
1602338753.3145516,364999,413.0
1602338765.7719622,367999,79.0
1602338772.6415262,368999,18.0
1602338782.3434453,370999,0.0
1602338785.1255064,371999,111.0
1602338794.8025088,373999,560.0
1602338814.1200354,377999,506.0
1602338820.9540198,378999,190.0
1602338823.70644,379999,241.0
1602338833.320654,381999,309.0
1602338840.131475,382999,279.0
1602338852.5166438,385999,70.0
1602338855.2694383,386999,191.0
1602338862.1374054,387999,2.0
1602338864.894553,388999,439.0
1602338874.5542078,390999,152.0
1602338881.4101474,391999,110.0
1602338884.1651278,392999,500.0
1602338891.0635722,393999,11.0
1602338932.4095802,402999,362.0
1602338939.2269685,403999,268.0
1602338948.8784926,405999,20.0
1602338961.3181646,408999,1.0
1602338997.1616433,415999,0.0
1602339000.0189867,416999,73.0
1602339019.386418,420999,768.0
1602339026.2474089,421999,412.0
1602339029.0076377,422999,8.0
1602339038.647373,424999,277.0
1602339048.2007318,426999,82.0
1602339067.4051955,430999,64.0
1602339108.7457588,439999,273.0
1602339115.6421113,440999,3.0
1602339118.40882,441999,656.0
1602339125.2393055,442999,583.0
1602339134.8810782,444999,570.0
1602339137.636672,445999,21.0
1602339154.1682956,448999,343.0
1602339166.4894102,451999,852.0
1602339202.287232,458999,557.0
1602339205.073859,459999,846.0
1602339211.9933422,460999,599.0
1602339214.775647,461999,874.0
1602339224.3740804,463999,654.0
1602339231.2481384,464999,113.0
1602339234.0348814,465999,342.0
1602339243.6420057,467999,0.0
1602339250.4744654,468999,632.0
1602339253.2335432,469999,663.0
1602339262.7939792,471999,929.0
1602339272.4437644,473999,603.0
1602339275.2179651,474999,186.0
1602339294.3644357,478999,677.0
1602339330.1315823,485999,436.0
1602339342.4980497,488999,873.0
1602339349.3034332,489999,0.0
1602339358.9232802,491999,716.0
1602339368.516256,493999,307.0
1602339380.89464,496999,0.0
1602339435.8526804,507999,216.0
1602339448.2223,510999,0.0
1602339451.0589905,511999,207.0
1602339457.902254,512999,0.0
1602339467.5085232,514999,4.0
1602339477.1517205,516999,859.0
1602339479.9414232,517999,343.0
1602339489.603864,519999,798.0
1602339515.525803,524999,0.0
1602339518.2775576,525999,295.0
1602339547.0750635,531999,1.0
1602339556.7487452,533999,0.0
1602339563.6268318,534999,775.0
1602339566.4670653,535999,955.0
1602339573.328457,536999,968.0
1602339576.111977,537999,962.0
1602339583.0482454,538999,437.0
1602339585.8552122,539999,7.0
1602339592.709161,540999,935.0
1602339595.4862242,541999,562.0
1602339602.3708396,542999,879.0
1602339611.9733548,544999,184.0
1602339624.3751442,547999,561.0
1602339631.2010977,548999,305.0
