Wall time,Step,Value
1602346564.399624,5999,77.0
1602346566.6876886,6999,0.0
1602346573.2360523,10999,0.0
1602346574.2295008,11999,0.0
1602346577.5037503,13999,218.0
1602346579.8415086,14999,0.0
1602346580.8098135,15999,0.0
1602346584.0904436,17999,266.0
1602346586.3998916,18999,0.0
1602346587.3921986,19999,74.0
1602346589.6967251,20999,0.0
1602346596.410309,24999,0.0
1602346610.6113791,33999,192.0
1602346612.8979185,34999,8.0
1602346616.1775405,36999,19.0
1602346620.4468853,39999,49.0
1602346622.7336533,40999,53.0
1602346624.7691367,42999,0.0
1602346628.0621526,44999,34.0
1602346630.3894954,45999,0.0
1602346633.7137213,47999,263.0
1602346637.0300434,49999,73.0
1602346638.027806,50999,184.0
1602346643.722482,53999,168.0
1602346644.7222977,54999,198.0
1602346647.050898,55999,39.0
1602346648.0428984,56999,270.0
1602346650.3734174,57999,0.0
1602346654.7330394,60999,0.0
1602346657.074166,61999,44.0
1602346660.4176202,63999,173.0
1602346663.75619,65999,0.0
1602346664.7630231,66999,119.0
1602346667.0845902,67999,53.0
1602346668.0879514,68999,47.0
1602346673.7954586,71999,190.0
1602346674.7978008,72999,75.0
1602346677.1114829,73999,190.0
1602346678.1173177,74999,114.0
1602346681.4451666,76999,122.0
1602346687.1467786,79999,12.0
1602346694.8009944,84999,121.0
1602346695.807771,85999,94.0
1602346698.1313672,86999,212.0
1602346699.1949754,87999,126.0
1602346701.5173821,88999,0.0
1602346702.5193775,89999,83.0
1602346711.4922612,94999,960.0
1602346724.87743,102999,25.0
1602346729.2050886,105999,0.0
1602346731.5852847,106999,857.0
1602346742.5929127,113999,465.0
1602346748.3059974,116999,801.0
1602346751.6458852,118999,0.0
1602346752.644805,119999,0.0
1602346754.9725,120999,460.0
1602346761.6907878,124999,0.0
1602346762.691783,125999,653.0
1602346765.0131817,126999,1.0
1602346769.3490477,129999,559.0
1602346770.347349,130999,468.0
1602346776.028072,133999,664.0
1602346782.7012281,137999,747.0
1602346786.011932,139999,876.0
1602346789.3428285,141999,138.0
1602346790.3924515,142999,0.0
1602346792.719577,143999,0.0
1602346793.7159684,144999,83.0
1602346800.371282,148999,677.0
1602346803.6823678,150999,64.0
1602346809.3640523,153999,416.0
1602346810.353772,154999,461.0
1602346812.654002,155999,0.0
1602346815.941215,157999,955.0
1602346816.9326916,158999,881.0
1602346819.2488708,159999,0.0
1602346823.633939,162999,973.0
1602346826.9812028,164999,667.0
1602346829.3176692,165999,0.0
1602346832.6541858,167999,968.0
1602346833.655087,168999,216.0
1602346838.0374897,171999,166.0
1602346847.0304,176999,662.0
1602346848.026169,177999,572.0
1602346850.3564117,178999,0.0
1602346853.7473204,180999,856.0
1602346854.743288,181999,304.0
1602346858.0766635,183999,931.0
1602346861.4105353,185999,923.0
1602346863.7412639,186999,929.0
1602346864.74374,187999,0.0
1602346867.1313908,188999,0.0
1602346870.4634752,190999,942.0
1602346871.465597,191999,934.0
1602346883.7608285,198999,54.0
1602346890.3889606,202999,943.0
1602346897.054287,206999,478.0
1602346898.0504544,207999,16.0
1602346900.3713472,208999,937.0
1602346907.0031443,212999,914.0
1602346911.326164,215999,0.0
1602346915.6865225,218999,907.0
1602346918.004589,219999,961.0
1602346922.3116987,222999,886.0
1602346924.6311593,223999,856.0
1602346927.9928868,225999,928.0
1602346928.985728,226999,303.0
1602346931.303239,227999,999.0
1602346934.6192474,229999,736.0
1602346935.6057894,230999,938.0
1602346938.9227855,232999,44.0
1602346941.2480686,233999,842.0
1602346942.3033288,234999,922.0
1602346947.96675,237999,949.0
1602346952.3032491,240999,947.0
1602346961.3706477,245999,23.0
1602346964.7000701,247999,946.0
1602346968.0301292,249999,934.0
1602346969.0299091,250999,44.0
1602346976.739611,255999,974.0
1602346982.420454,258999,927.0
1602346983.4199135,259999,974.0
1602346985.7576325,260999,531.0
1602346986.750901,261999,991.0
1602346990.1193545,263999,920.0
1602346996.7436647,267999,831.0
1602347000.069276,269999,891.0
1602347003.4329405,271999,499.0
1602347006.7591474,273999,913.0
1602347015.7084186,278999,627.0
1602347019.0884602,280999,0.0
1602347025.7215502,284999,0.0
1602347033.436444,289999,909.0
1602347036.7750447,291999,914.0
1602347039.1101,292999,964.0
1602347043.4554088,295999,0.0
1602347046.7969587,297999,0.0
1602347047.7967925,298999,875.0
1602347050.1937025,299999,207.0
1602347053.533148,301999,722.0
1602347054.5406842,302999,0.0
1602347056.8724298,303999,425.0
1602347063.553349,307999,848.0
1602347064.551866,308999,0.0
1602347067.8881402,310999,951.0
1602347073.5617049,313999,974.0
1602347080.3009987,317999,362.0
1602347081.303732,318999,0.0
1602347083.646758,319999,393.0
1602347084.6466045,320999,977.0
1602347087.9901195,322999,817.0
1602347093.6396842,325999,912.0
1602347094.6918123,326999,966.0
1602347097.012661,327999,895.0
1602347101.3343372,330999,0.0
1602347103.6580641,331999,0.0
1602347106.9783258,333999,0.0
1602347116.996524,339999,922.0
1602347119.0062842,341999,5.0
1602347124.758038,344999,323.0
1602347125.757751,345999,962.0
1602347129.1011333,347999,878.0
1602347131.4314063,348999,903.0
1602347139.1087053,353999,975.0
1602347141.4401913,354999,1000.0
1602347144.781093,356999,0.0
1602347148.1265972,358999,939.0
1602347149.1297534,359999,567.0
1602347151.4734745,360999,751.0
1602347155.8797944,363999,58.0
1602347158.217967,364999,0.0
1602347162.5641172,367999,0.0
1602347164.9044738,368999,0.0
1602347168.2465272,370999,913.0
1602347169.249111,371999,1000.0
1602347172.6419888,373999,975.0
1602347179.3090115,377999,146.0
1602347181.6318107,378999,1000.0
1602347182.6278317,379999,938.0
1602347186.003968,381999,908.0
1602347188.3041544,382999,962.0
1602347192.6235476,385999,587.0
1602347193.622478,386999,832.0
1602347195.9377913,387999,0.0
1602347196.9406743,388999,0.0
1602347200.3215861,390999,987.0
1602347202.6279933,391999,0.0
1602347203.6269512,392999,897.0
1602347205.9384408,393999,940.0
1602347220.2631705,402999,0.0
1602347222.582751,403999,0.0
1602347225.9074602,405999,939.0
1602347230.2382634,408999,933.0
1602347242.6159308,415999,945.0
1602347243.6107697,416999,926.0
1602347250.2707932,420999,909.0
1602347252.570511,421999,436.0
1602347253.5584702,422999,959.0
1602347256.8495328,424999,0.0
1602347260.1337972,426999,970.0
1602347266.7613513,430999,974.0
1602347281.1270087,439999,0.0
1602347283.467015,440999,983.0
1602347284.468361,441999,928.0
1602347286.809573,442999,649.0
1602347290.149716,444999,946.0
1602347291.2138102,445999,0.0
1602347296.9022381,448999,0.0
1602347301.2463307,451999,922.0
1602347313.5957263,458999,945.0
1602347314.5918453,459999,919.0
1602347316.9149046,460999,917.0
1602347317.9103644,461999,930.0
1602347321.2219245,463999,12.0
1602347323.6020179,464999,634.0
1602347324.6065965,465999,859.0
1602347327.9433985,467999,896.0
1602347330.2697172,468999,0.0
1602347331.283667,469999,0.0
1602347334.6319497,471999,903.0
1602347338.023271,473999,0.0
1602347339.0359135,474999,0.0
1602347345.7183778,478999,46.0
1602347358.0959666,485999,2.0
1602347362.4340165,488999,0.0
1602347364.761884,489999,0.0
1602347368.1455703,491999,0.0
1602347371.4740605,493999,929.0
1602347375.8214862,496999,986.0
1602347394.9282994,507999,916.0
1602347399.3195727,510999,947.0
1602347400.323296,511999,0.0
1602347402.665702,512999,980.0
1602347405.9998367,514999,812.0
1602347409.3467739,516999,0.0
1602347410.354183,517999,574.0
1602347413.7492516,519999,816.0
1602347422.7531822,524999,838.0
1602347423.7396936,525999,772.0
1602347433.7527266,531999,469.0
1602347437.0927641,533999,935.0
1602347439.4292107,534999,712.0
1602347440.4245684,535999,878.0
1602347442.7542477,536999,927.0
1602347443.80801,537999,28.0
1602347446.1429586,538999,921.0
1602347447.1471243,539999,0.0
1602347449.4895623,540999,923.0
1602347450.4986315,541999,744.0
1602347452.8441293,542999,909.0
1602347456.1562097,544999,0.0
1602347460.5122871,547999,977.0
1602347462.8305519,548999,126.0
1602347463.8224368,549999,954.0
1602347467.1312003,551999,0.0
1602347473.797417,555999,0.0
1602347477.0979414,557999,1000.0
1602347480.4192944,559999,955.0
1602347487.0695004,563999,649.0
1602347488.0721517,564999,960.0
1602347490.4593244,565999,960.0
1602347493.8080626,567999,0.0
1602347497.1482387,569999,959.0
1602347500.4980962,571999,236.0
1602347503.8456843,573999,964.0
1602347504.9039948,574999,953.0
1602347510.5915554,577999,930.0
1602347513.9283967,579999,954.0
1602347514.9334478,580999,538.0
1602347517.273497,581999,1000.0
1602347518.2748108,582999,985.0
1602347520.6681318,583999,919.0
1602347521.6667075,584999,977.0
1602347524.976355,586999,966.0
1602347527.297473,587999,323.0
1602347534.9704387,592999,914.0
1602347537.2774923,593999,25.0
1602347540.566334,595999,957.0
1602347541.5654228,596999,0.0
1602347542.5626209,597999,0.0
1602347548.2131643,600999,955.0
1602347551.6183734,602999,0.0
1602347554.943761,604999,954.0
1602347558.2632186,606999,998.0
1602347561.5906842,608999,0.0
1602347564.9767232,610999,930.0
1602347565.988067,611999,907.0
1602347568.3255432,612999,896.0
1602347572.65975,615999,1000.0
1602347579.3117557,619999,261.0
1602347581.6970422,620999,923.0
1602347585.0022762,622999,946.0
1602347585.9980524,623999,939.0
1602347589.316086,625999,811.0
1602347596.0248182,629999,0.0
1602347604.9354413,634999,973.0
1602347615.8936157,641999,967.0
1602347616.8953264,642999,825.0
1602347620.207962,644999,937.0
1602347622.5418575,645999,940.0
1602347623.5457885,646999,926.0
1602347625.9297175,647999,915.0
1602347626.9284213,648999,994.0
1602347629.272065,649999,0.0
1602347632.6053414,651999,923.0
1602347633.6070316,652999,0.0
1602347640.2581782,656999,949.0
1602347642.5613856,657999,0.0
1602347645.8710077,659999,0.0
1602347649.1951191,661999,994.0
1602347653.5137956,664999,926.0
1602347656.8836496,666999,875.0
1602347659.2181165,667999,979.0
1602347660.2081962,668999,23.0
1602347665.846661,671999,0.0
1602347666.850397,672999,0.0
1602347669.1830707,673999,971.0
1602347670.1833892,674999,0.0
1602347672.5549896,675999,0.0
1602347675.8830035,677999,140.0
1602347676.8818483,678999,889.0
1602347679.2244365,679999,94.0
1602347682.5447028,681999,913.0
1602347683.5471907,682999,0.0
1602347684.5426166,683999,875.0
1602347686.9332082,684999,0.0
1602347687.937707,685999,877.0
1602347690.2582724,686999,0.0
1602347693.5800188,688999,0.0
1602347694.5743396,689999,893.0
1602347700.212034,692999,56.0
1602347706.9485075,696999,906.0
1602347711.30685,699999,0.0
1602347713.6363726,700999,947.0
1602347714.6344259,701999,0.0
1602347718.0225205,703999,0.0
1602347720.3606763,704999,287.0
1602347721.355644,705999,273.0
1602347723.68275,706999,0.0
1602347727.0063376,708999,905.0
1602347728.0002143,709999,891.0
1602347730.3365967,710999,0.0
1602347737.0674124,714999,356.0
1602347743.649943,718999,0.0
