Wall time,Step,Value
1602158284.3297167,15989,-337.1965026855469
1602158284.3298175,15990,-260.97491455078125
1602158284.330546,15994,-288.5749206542969
1602158284.330729,15995,-448.5194091796875
1602158284.3311007,15997,-234.41180419921875
1602158284.3312726,15998,-277.5814208984375
1602158284.331441,15999,-287.04412841796875
1602158293.5034041,31985,-163.76744079589844
1602158293.5036592,31986,-254.69248962402344
1602158293.5039096,31987,-146.23744201660156
1602158293.5041437,31988,-208.62425231933594
1602158293.5049493,31992,-191.5435333251953
1602158305.2674582,47985,-176.51361083984375
1602158305.2675977,47986,-206.71897888183594
1602158305.2678306,47988,-359.4983215332031
1602158305.2686603,47991,-321.5722351074219
1602158305.268851,47992,-257.3904724121094
1602158305.2692175,47994,-258.7776794433594
1602158305.2695308,47996,-134.29608154296875
1602158305.2696962,47997,-212.14529418945312
1602158305.2699885,47999,-282.9244689941406
1602158314.5776436,63985,-208.85531616210938
1602158314.577779,63986,-330.2392578125
1602158314.5780716,63989,-194.81631469726562
1602158314.5784304,63990,-246.8776397705078
1602158314.5786471,63991,-197.30545043945312
1602158314.578819,63992,-239.1356201171875
1602158314.578974,63993,-163.3125762939453
1602158314.5794144,63996,-204.11941528320312
1602158314.579557,63997,-201.77540588378906
1602158314.579846,63999,-198.3891143798828
1602158324.7928848,79985,-213.029052734375
1602158324.793265,79986,-217.8919219970703
1602158324.7936227,79987,-246.26275634765625
1602158324.794,79988,-192.90548706054688
1602158324.7950294,79991,-195.5342559814453
1602158324.795368,79992,-295.06854248046875
1602158324.795704,79993,-224.78036499023438
1602158324.7960198,79994,-202.2918701171875
1602158324.7966695,79996,-165.784423828125
1602158324.7976794,79999,-182.4945526123047
1602158334.272354,95988,-195.5172119140625
1602158334.2726321,95989,-265.2641906738281
1602158334.272848,95990,-198.99020385742188
1602158334.2730353,95991,-328.126708984375
1602158334.2732089,95992,-165.7910614013672
1602158334.2733774,95993,-164.02967834472656
1602158334.274193,95998,-223.37545776367188
1602158344.8979673,111990,-175.73086547851562
1602158344.8986526,111993,-218.12144470214844
1602158344.8988326,111994,-176.8070831298828
1602158354.333089,127985,-240.590087890625
1602158354.33412,127988,-234.881103515625
1602158354.3347652,127990,-177.20579528808594
1602158354.3350775,127991,-180.5694580078125
1602158354.3353825,127992,-170.8671875
1602158354.336959,127996,-243.8394775390625
1602158354.3371832,127997,-391.89794921875
1602158354.3373573,127998,-144.01651000976562
1602158365.5300825,143985,-251.61329650878906
1602158365.5303907,143986,-122.3507308959961
1602158365.531276,143989,-163.8902587890625
1602158365.5320156,143993,-190.59530639648438
1602158365.5323653,143995,-188.18795776367188
1602158365.532738,143997,-122.43727111816406
1602158365.5329525,143998,-271.9972839355469
1602158365.5331185,143999,-147.8560028076172
1602158375.586396,159984,-254.0436248779297
1602158375.5871296,159988,-184.0364227294922
1602158375.587324,159990,-95.57231903076172
1602158375.588078,159993,-229.78082275390625
1602158375.5881798,159994,-185.25186157226562
1602158375.588304,159995,-215.4408721923828
1602158375.5884948,159997,-174.5381622314453
1602158375.5885851,159998,-162.64987182617188
1602158375.5887833,159999,-171.31597900390625
1602158385.5685182,175986,-209.21421813964844
1602158385.5690498,175988,-161.80453491210938
1602158385.5693471,175989,-141.05291748046875
1602158385.5698328,175991,-127.73709869384766
1602158385.5700133,175992,-181.537841796875
1602158385.5705063,175995,-147.43533325195312
1602158394.2227948,191984,-133.84996032714844
1602158394.2232552,191985,-90.2317886352539
1602158394.2234855,191986,-38.94868469238281
1602158394.223858,191988,-47.11677169799805
1602158394.2240384,191989,-104.36609649658203
1602158394.2243934,191991,-166.4971923828125
1602158394.224746,191993,37.11271667480469
1602158394.225013,191994,3.936537027359009
1602158394.2251885,191995,-99.14352416992188
1602158394.2253628,191996,-78.19721984863281
1602158394.2257123,191998,-60.11278533935547
1602158394.2259064,191999,-134.87451171875
1602158402.8338864,207990,7.616007328033447
1602158402.8347058,207994,-54.34112548828125
1602158402.8354485,207998,-38.05329513549805
1602158402.835612,207999,-11.934818267822266
1602158411.619512,223984,21.369632720947266
1602158411.6206,223988,26.20750617980957
1602158411.6211543,223991,-9.063277244567871
1602158411.6216085,223994,6.868709564208984
1602158411.6217556,223995,65.06995391845703
1602158411.6222205,223998,65.93124389648438
1602158411.6223187,223999,-17.738815307617188
1602158420.3106263,239985,122.28457641601562
1602158420.311022,239986,42.041561126708984
1602158420.311336,239987,37.75213623046875
1602158420.3118749,239989,120.43379974365234
1602158420.3121116,239990,-222.2401885986328
1602158420.3125813,239992,39.55419158935547
1602158420.3127792,239993,68.2308120727539
1602158420.312993,239994,116.83451843261719
1602158420.313577,239997,82.90298461914062
1602158428.8972008,255984,91.29918670654297
1602158428.898884,255989,3.726534366607666
1602158428.8994646,255991,160.77723693847656
1602158428.8998656,255993,119.35655975341797
1602158428.9000642,255994,142.1253662109375
1602158428.9009135,255999,20.95585060119629
1602158437.4875762,271986,187.8521270751953
1602158437.4879124,271987,147.47894287109375
1602158437.4880383,271988,155.81112670898438
1602158437.4883907,271989,186.31716918945312
1602158437.4887571,271991,88.1903076171875
1602158437.4894545,271995,90.70540618896484
1602158437.4897354,271997,102.54536437988281
1602158437.4900515,271999,163.80616760253906
1602158446.1112826,287985,47.357582092285156
1602158446.112647,287990,120.2536392211914
1602158446.1130686,287992,182.55003356933594
1602158446.1139047,287996,206.6092529296875
1602158454.7079444,303985,245.2653045654297
1602158454.7083504,303987,95.77155303955078
1602158454.7085383,303988,116.79710388183594
1602158454.7091718,303991,261.275390625
1602158454.709538,303993,200.42428588867188
1602158454.7097309,303994,115.67784881591797
1602158454.7099211,303995,257.8071594238281
1602158454.7103815,303997,208.22984313964844
1602158454.710568,303998,228.72238159179688
1602158454.7107403,303999,172.79916381835938
1602158463.3776495,319987,139.0830535888672
1602158463.3777723,319988,254.86300659179688
1602158463.3782754,319990,254.2752685546875
1602158463.3789685,319993,288.1641845703125
1602158463.379656,319997,224.03282165527344
1602158463.379822,319998,226.48658752441406
1602158463.3799858,319999,180.79994201660156
1602158471.9332266,335984,209.5088348388672
1602158471.933869,335986,75.57030487060547
1602158471.9346168,335989,276.54620361328125
1602158471.9348042,335990,174.21371459960938
1602158471.9349785,335991,316.80047607421875
1602158471.9354813,335994,152.9930419921875
1602158471.9356456,335995,359.2010498046875
1602158471.9359725,335997,303.51776123046875
1602158480.5579917,351987,410.25390625
1602158480.5586398,351989,341.2675476074219
1602158480.5594037,351992,341.5306396484375
1602158480.5595984,351993,198.1493682861328
1602158480.5600095,351995,250.9347381591797
1602158480.560236,351996,331.9241638183594
1602158489.0906465,367985,228.82870483398438
1602158489.090963,367986,-84.22589111328125
1602158489.0915456,367988,396.6412353515625
1602158489.0919435,367990,204.91482543945312
1602158489.0921202,367991,365.3396301269531
1602158489.0922892,367992,-6.761459827423096
1602158489.0927591,367995,114.93762969970703
1602158489.092971,367996,295.2980041503906
1602158489.0935428,367999,363.4333801269531
1602158497.8911083,383984,229.47496032714844
1602158497.8919365,383986,295.21875
1602158497.8922644,383987,326.7976989746094
1602158497.8927712,383989,-166.97853088378906
1602158497.8937082,383993,222.41236877441406
1602158497.893863,383994,56.288902282714844
1602158497.8940167,383995,195.87136840820312
1602158497.894384,383997,264.5133972167969
1602158497.8945255,383998,202.62310791015625
1602158506.501083,399985,313.2059020996094
1602158506.5012834,399986,338.9380187988281
1602158506.5014884,399987,289.1815490722656
1602158506.50169,399988,-217.99847412109375
1602158506.5020823,399990,305.4898681640625
1602158506.5022793,399991,286.4203796386719
1602158506.502469,399992,205.091552734375
1602158506.5026557,399993,277.7097473144531
1602158515.0939088,415986,308.3646545410156
1602158515.0942569,415987,210.4899444580078
1602158515.094842,415989,210.97413635253906
1602158515.0954797,415992,285.7612609863281
1602158515.0966623,415999,296.3811950683594
1602158523.637683,431984,461.6883544921875
1602158523.6390874,431988,377.4897766113281
1602158523.6393726,431989,262.4014587402344
1602158523.63955,431990,397.4853820800781
1602158523.6399748,431992,423.1307373046875
1602158523.6403034,431994,460.7048645019531
1602158523.6410828,431998,414.68359375
1602158532.2669213,447991,367.39422607421875
1602158532.2670956,447992,446.0848693847656
1602158532.2672696,447993,279.8046569824219
1602158532.2674642,447994,290.7909240722656
1602158532.2678301,447996,299.13079833984375
1602158532.2680516,447997,364.4766845703125
1602158540.9187238,463984,402.590087890625
1602158540.9195318,463987,402.8754577636719
1602158540.9208245,463994,499.0491638183594
1602158540.921066,463995,397.44482421875
1602158540.9212472,463996,350.5995788574219
1602158540.9214275,463997,438.877197265625
1602158540.9217877,463999,441.0368347167969
1602158551.2650847,479984,483.44268798828125
1602158551.2654278,479985,477.0595397949219
1602158551.2693338,479987,495.8784484863281
1602158551.2695782,479988,449.5751647949219
1602158551.2697623,479989,395.6698303222656
1602158551.2701135,479991,492.7781066894531
1602158551.2704208,479993,427.63897705078125
1602158551.2705688,479994,502.25140380859375
1602158551.2711875,479998,213.53932189941406
1602158559.806214,495989,-116.6058349609375
1602158559.806759,495992,412.64739990234375
1602158559.806901,495993,339.45654296875
1602158559.8072317,495995,547.5110473632812
1602158559.8075597,495997,473.15399169921875
1602158568.4021044,511984,445.1784973144531
1602158568.405959,511995,372.6402282714844
1602158568.4065282,511998,-316.9119567871094
1602158568.4067316,511999,533.2330322265625
1602158576.9993935,527984,535.0830078125
1602158576.9999838,527986,459.6176452636719
1602158577.000374,527988,445.27081298828125
1602158577.0005538,527989,582.7974243164062
1602158577.0009682,527991,467.8459777832031
1602158577.0019233,527996,527.6687622070312
1602158577.0020952,527997,480.8847351074219
1602158585.524738,543987,550.2557373046875
1602158585.5252345,543989,301.3185729980469
1602158585.5254545,543990,423.8985900878906
1602158585.5256312,543991,486.0226135253906
1602158585.5257754,543992,543.3143310546875
1602158585.5259163,543993,500.70806884765625
1602158585.5260694,543994,491.5944519042969
1602158585.5262756,543995,447.83319091796875
1602158585.5264401,543996,529.0667114257812
1602158585.5266285,543997,552.9312744140625
1602158585.5267794,543998,516.5614624023438
1602158594.056646,559984,440.66326904296875
1602158594.0573356,559987,555.4872436523438
1602158594.057446,559988,555.6259765625
1602158594.0575519,559989,537.0355834960938
1602158594.0581985,559991,527.517333984375
1602158594.0589132,559995,471.3298645019531
1602158594.059242,559997,537.7232666015625
1602158594.059568,559999,411.3271789550781
1602158602.577034,575987,394.0417175292969
1602158602.5773287,575988,546.1815185546875
1602158602.577588,575989,574.9584350585938
1602158602.5781486,575991,520.6712036132812
1602158602.578565,575993,583.106201171875
1602158602.57896,575995,570.3353881835938
1602158602.5793176,575997,551.0028686523438
1602158602.5794942,575998,603.3304443359375
1602158611.1556005,591985,657.1864013671875
