Wall time,Step,Value
1602159369.4126062,5999,-239.22210693359375
1602159371.7715764,6999,-390.90582275390625
1602159378.2936678,10999,-212.00680541992188
1602159379.1773658,11999,-261.5544738769531
1602159382.4748378,13999,-171.5335235595703
1602159384.8512201,14999,-242.62916564941406
1602159385.8032846,15999,-37.11750411987305
1602159389.096419,17999,-218.81851196289062
1602159391.5882034,18999,-214.16000366210938
1602159392.5318766,19999,-242.0209197998047
1602159394.9325216,20999,-144.53758239746094
1602159401.646718,24999,-169.3565673828125
1602159415.5339625,33999,-114.40887451171875
1602159417.855738,34999,-95.0657958984375
1602159421.1049213,36999,-120.7736587524414
1602159425.2621102,39999,-151.8961944580078
1602159427.617871,40999,-53.18518829345703
1602159429.437175,42999,-145.46607971191406
1602159432.6918116,44999,-93.93616485595703
1602159434.9961367,45999,-131.58389282226562
1602159438.3075259,47999,-78.3475570678711
1602159441.5570855,49999,-0.8229556083679199
1602159442.4679077,50999,-124.09575653076172
1602159448.0639975,53999,-45.11248016357422
1602159449.0067425,54999,-50.64213180541992
1602159451.4110293,55999,-63.815834045410156
1602159452.3350575,56999,38.44472122192383
1602159454.6876771,57999,48.291526794433594
1602159458.8166833,60999,51.761474609375
1602159461.165666,61999,29.925018310546875
1602159464.4062352,63999,60.425411224365234
1602159467.703985,65999,-43.25535583496094
1602159468.5963519,66999,-9.859761238098145
1602159470.9054122,67999,110.6348648071289
1602159471.8261738,68999,-33.860565185546875
1602159477.3698854,71999,172.39474487304688
1602159478.2593234,72999,73.20515441894531
1602159480.6015747,73999,-22.18094253540039
1602159481.5727813,74999,25.449962615966797
1602159484.846014,76999,-20.044519424438477
1602159490.4469748,79999,215.1416015625
1602159497.8461802,84999,8.873024940490723
1602159498.7327752,85999,169.5333251953125
1602159501.0533433,86999,66.16690063476562
1602159501.9729028,87999,-17.549489974975586
1602159504.3146455,88999,141.5069122314453
1602159505.2180505,89999,107.96143341064453
1602159514.286648,94999,168.1001434326172
1602159527.6543365,102999,209.5645751953125
1602159531.7886982,105999,174.79385375976562
1602159534.1347408,106999,236.4031524658203
1602159544.7969353,113999,405.6219787597656
1602159550.3229616,116999,346.1831359863281
1602159553.5500212,118999,298.03070068359375
1602159554.4427245,119999,317.58013916015625
1602159556.7817,120999,387.7910461425781
1602159563.2895997,124999,350.914306640625
1602159564.1830916,125999,497.4375915527344
1602159566.469117,126999,339.88397216796875
1602159570.6113026,129999,361.4717102050781
1602159571.516158,130999,392.2696228027344
1602159577.1417122,133999,418.6846008300781
1602159583.548413,137999,411.4872741699219
1602159586.7407172,139999,500.6012878417969
1602159589.9813673,141999,419.0981750488281
1602159590.8748152,142999,416.4996337890625
1602159593.2335904,143999,511.60601806640625
1602159594.1304803,144999,367.5815124511719
1602159600.574858,148999,588.6698608398438
1602159603.857479,150999,550.493408203125
1602159609.4027615,153999,689.54833984375
1602159610.294225,154999,562.5145874023438
1602159612.6172574,155999,678.1101684570312
1602159615.8299873,157999,523.4188232421875
1602159616.7211847,158999,529.5634765625
1602159619.0708718,159999,701.37744140625
1602159623.161271,162999,775.1742553710938
1602159626.387014,164999,557.8840942382812
1602159628.7232876,165999,703.5423583984375
1602159631.929841,167999,676.1749877929688
1602159632.9163806,168999,628.1190795898438
1602159637.0034585,171999,632.7235717773438
1602159645.7981465,176999,773.8048095703125
1602159646.6855829,177999,590.0553588867188
1602159649.074868,178999,642.6166381835938
1602159652.3086398,180999,829.3186645507812
1602159653.2016802,181999,655.0028076171875
1602159656.3915374,183999,617.5162353515625
1602159659.596227,185999,645.721923828125
1602159661.9710636,186999,987.0664672851562
1602159662.9388838,187999,953.19970703125
1602159665.233123,188999,766.592041015625
1602159668.5195975,190999,709.2269287109375
1602159669.4252546,191999,924.4860229492188
1602159681.5371404,198999,749.2787475585938
1602159687.9885685,202999,922.9917602539062
1602159694.5144324,206999,1007.6575317382812
1602159695.4082441,207999,1191.472900390625
1602159697.7526646,208999,1236.6981201171875
1602159704.144462,212999,1342.190673828125
1602159708.284717,215999,1235.3475341796875
1602159712.428098,218999,1079.92041015625
1602159714.7628314,219999,1232.5526123046875
1602159718.8917344,222999,954.3342895507812
1602159721.2318494,223999,1085.640380859375
1602159724.4825852,225999,888.9790649414062
1602159725.3802738,226999,1156.7666015625
1602159727.6934156,227999,1330.0926513671875
1602159730.884998,229999,1453.1121826171875
1602159731.7756288,230999,1365.5224609375
1602159735.0136974,232999,1117.514892578125
1602159737.2965074,233999,856.07177734375
1602159738.2560744,234999,1216.0355224609375
1602159743.7560506,237999,1431.313720703125
1602159747.8787634,240999,1539.449951171875
1602159756.7026255,245999,1465.92041015625
1602159759.9073753,247999,1341.4293212890625
1602159763.102997,249999,1426.1270751953125
1602159763.9942107,250999,1522.4822998046875
1602159771.3601937,255999,1421.4892578125
1602159776.909676,258999,1337.0555419921875
1602159777.821492,259999,906.1051025390625
1602159780.1757147,260999,1726.1993408203125
1602159781.0626147,261999,1567.1297607421875
1602159784.3194618,263999,1295.6732177734375
1602159790.7389238,267999,1629.1427001953125
1602159793.946196,269999,979.77294921875
1602159797.15429,271999,1714.58544921875
1602159800.4281223,273999,1866.95947265625
1602159809.2457721,278999,1588.0635986328125
1602159812.4993458,280999,1893.9967041015625
1602159818.9247744,284999,2021.5355224609375
1602159826.241183,289999,1969.1231689453125
1602159829.515571,291999,1785.1434326171875
1602159831.8016243,292999,1042.075927734375
1602159835.9105113,295999,2027.8604736328125
1602159839.1290681,297999,2105.350341796875
